gid,province,district,thumb,picture,no,,party,name,cname,gender,birthday,age,address,job,education,career,property,military,tax,tax_unpaid_5yrs,tax_unpaid_current,crime,candidate_count
100136749,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100136749/gicho/thumbnail.100136749.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100136749/gicho/100136749.JPG,1,,더불어민주당,이낙연,李洛淵,남,1952-12-20,67,서울특별시 종로구 송월길,정당인,서울대학교 법과대학 법학과 졸업,"[""(현)민주당 코로나19국난극복위원장"", ""(전)제45대 국무총리""]",2436814,군복무를 마친사람,133141,0,0,0,5
100136965,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100136965/gicho/thumbnail.100136965.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100136965/gicho/100136965.JPG,2,,미래통합당,황교안,黃敎安,남,1957-04-15,63,서울특별시 종로구 창경궁로,미래통합당 당대표,성균관대학교 대학원 법학과 졸업,"[""(전) 제44대 대한민국 국무총리"", ""(전) 제63대 법무부장관""]",3340706,군복무를 마치지 아니한 사람,118357,0,0,0,0
100137552,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137552/gicho/thumbnail.100137552.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137552/gicho/100137552.JPG,7,,우리공화당,한민호,韓民鎬,남,1962-01-21,58,서울특별시 금천구 범안로,정당인,성균관대학교대학원 공연예술협동과정 수료(박사학위과정),"[""(전)문화체육관광부 체육정책관"", ""(전)사행산업통합감독위원회 사무처장""]",1100242,군복무를 마친사람,111423,1769,0,0,0
100135000,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100135000/gicho/thumbnail.100135000.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100135000/gicho/100135000.JPG,8,,민중당,오인환,吳璘煥,남,1973-01-05,47,서울특별시 구로구 오리로,정당인,경희대학교 사회과학대학 회계학과 4년 제적,"[""(전)통합진보당 중앙위원"", ""(현)민중당 서울시당위원장""]",197497,군복무를 마친사람,1536,0,0,3,0
100138033,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100138033/gicho/thumbnail.100138033.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100138033/gicho/100138033.JPG,9,,가자!평화인권당,이정희,李貞嬉,여,1964-10-19,55,서울특별시 종로구 사직로1마길,가자평화인권당 공동대표,고려대학교 국어국문학과 졸업,"[""(현)영화"", "" 작가(현)우리겨레 고유력 저자""]",-143000,해당없음(비대상),25805,0,0,0,0
100137714,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137714/gicho/thumbnail.100137714.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137714/gicho/100137714.JPG,10,,공화당,신동욱,申東旭,남,1968-01-16,52,서울특별시 송파구 마천로,정당인,서울벤처정보대학원대학교 졸업(경영학박사),"[""(전)백석문화대학 겸임교수"", ""(현)공화당 총재""]",282609,군복무를 마친사람,0,0,0,2,0
100137702,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137702/gicho/thumbnail.100137702.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137702/gicho/100137702.JPG,11,,국가혁명배당금당,박준영,朴俊榮,남,1937-02-24,83,서울특별시 종로구 율곡로2길,국제정치가,서울대학교 의과대학 의학과 졸업,"[""(전)미국국제정책연구소 교수"", ""(현)한국노벨재단 총재""]",0,군복무를 마친사람,2100,1729,1729,2,0
100137227,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137227/gicho/thumbnail.100137227.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137227/gicho/100137227.JPG,12,,국민새정당,백병찬,白秉贊,남,1956-04-01,64,서울특별시 구로구 오류로,국민새정당 부총재 겸 수석 대변인,미기재,"[""(전)자유선진당 공천 전주덕진구 19대 국회의원 출마"", ""(전)무소속 19대 대통령 출마선언""]",500,군복무를 마친사람,0,0,0,1,1
100137750,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137750/gicho/thumbnail.100137750.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137750/gicho/100137750.JPG,13,,기독자유통일당,양세화,梁世和,여,1982-02-15,38,경기도 양평군 용문면 그릇고갯길,정당인,강원관광대학교 관광계열 중퇴(2003년03월~2005년09월),"[""(전)금화효소원 원장"", ""(현)자유통일청년정치연합 공동대표""]",49990,해당없음(비대상),92,0,0,0,0
100137628,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137628/gicho/thumbnail.100137628.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137628/gicho/100137628.JPG,14,,민중민주당,박소현,朴炤炫,여,1991-02-19,29,인천광역시 계양구 봉오대로698번길,정당인,고려대학교 사회학과 수료,"[""(전)민중민주당 학생위원회 위원장"", ""(현)민중민주당부대변인""]",259418,해당없음(비대상),4379,0,0,2,0
100137972,서울특별시,종로구,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137972/gicho/thumbnail.100137972.JPG,http://info.nec.go.kr/photo_20200415/Gsg1101/Hb100137972/gicho/100137972.JPG,15,,한나라당,김형석,金亨錫,남,1966-04-20,53,서울특별시 종로구 창신12길,방송통신대학교 바둑지도사범(한국기원아마5단),한국방송통신대학교 문화교양학과 1학년 재학,"[""(전)종로구청장 예비출마자(4대,5대,6대)"", ""(현)한국방송통신대학교 전국동아리동문회 3대회장""]",0,군복무를 마치지 아니한 사람,0,0,0,0,0
