cmd,pageIndex,pageSubIndex,pageUnit,pageSize,subPageSize,firstIndex,lastIndex,recordCountPerPage,currentPage,searchWord,searchKey,sgId,subSgId,sgName,menuId,menuName,upperMenuId,urlPathName,menuDepth,menuSgId,cvId,cvName,wiwsidocode,wiwid,wiwname,sortYn,sggid,sggname,hSgId,hRegionId,hGuId,hSggId,sgBireYn,jdid,jdname,huboid,hbjname,hbjgiho,hbjjikup,hbjhakruk,cnt,sgTypecode,filename,fileinfo,fileTypeCode,filePathName,updtFileName,fileTypeName,psgId,psidoId,pwiwid,psggid,psubSgId,roleId,phGuId,atchSeqNo,hbjgihosangse,hSubSgId,psggname,elecEndYn,fileDispYn,pdfLink
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,100,더불어민주당,100136749,이낙연,1,정당인,서울대학교 법과대학 법학과 졸업,229,,Gsg1101/Hb100136749/gicho/thumbnail.100136749.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100136749_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136749.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100136749_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,200,미래통합당,100136965,황교안,2,미래통합당 당대표,성균관대학교 대학원 법학과 졸업,229,,Gsg1101/Hb100136965/gicho/thumbnail.100136965.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100136965_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136965.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100136965_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,5000,우리공화당,100137552,한민호,7,정당인,성균관대학교대학원 공연예술협동과정 수료(박사학위과정),229,,Gsg1101/Hb100137552/gicho/thumbnail.100137552.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100137552_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137552.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100137552_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,5010,민중당,100135000,오인환,8,정당인,경희대학교 사회과학대학 회계학과 4년 제적,229,,Gsg1101/Hb100135000/gicho/thumbnail.100135000.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100135000_20200404_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135000.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100135000_20200404_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,3070,가자!평화인권당,100138033,이정희,9,가자평화인권당 공동대표,고려대학교 국어국문학과 졸업,229,,Gsg1101/Hb100138033/gicho/thumbnail.100138033.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100138033_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100138033.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100138033_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,2010,공화당,100137714,신동욱,10,정당인,서울벤처정보대학원대학교 졸업(경영학박사),229,,Gsg1101/Hb100137714/gicho/thumbnail.100137714.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100137714_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137714.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100137714_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,5031,국가혁명배당금당,100137702,박준영,11,국제정치가,서울대학교 의과대학 의학과 졸업,229,,Gsg1101/Hb100137702/gicho/thumbnail.100137702.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100137702_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137702.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100137702_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,4080,국민새정당,100137227,백병찬,12,국민새정당 부총재 겸 수석 대변인,미기재,229,,Gsg1101/Hb100137227/gicho/thumbnail.100137227.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100137227_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137227.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100137227_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,3040,기독자유통일당,100137750,양세화,13,정당인,강원관광대학교 관광계열 중퇴(2003년03월~2005년09월),229,,Gsg1101/Hb100137750/gicho/thumbnail.100137750.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100137750_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137750.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100137750_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,4010,민중민주당,100137628,박소현,14,정당인,고려대학교 사회학과 수료,229,,Gsg1101/Hb100137628/gicho/thumbnail.100137628.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100137628_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137628.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100137628_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,1990,한나라당,100137972,김형석,15,방송통신대학교 바둑지도사범(한국기원아마5단),한국방송통신대학교 문화교양학과 1학년 재학,229,,Gsg1101/Hb100137972/gicho/thumbnail.100137972.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100137972_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137972.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100137972_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2110101,종로구,,,,,,9999,무소속,100138043,김용덕,16,농업,군장대학 졸업,229,,Gsg1101/Hb100138043/gicho/thumbnail.100138043.JPG,선거공보||20200415/PDF/PBINFO/1101/003_100138043_20200405_2.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100138043.pdf&requestedFullPath=20200415/PDF/PBINFO/1101/003_100138043_20200405_2.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2260401,중구영도구,,,,,,100,더불어민주당,100134713,김비오,1,정당인,연세대학교 법무대학원 경영법무학 석사,74,,Gsg2604/Hb100134713/gicho/thumbnail.100134713.JPG,선거공보||20200415/PDF/PBINFO/2604/003_100134713_20200405_2.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134713.pdf&requestedFullPath=20200415/PDF/PBINFO/2604/003_100134713_20200405_2.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2260401,중구영도구,,,,,,200,미래통합당,100137440,황보승희,2,정당인,이화여자대학교 영어영문학과 졸업,74,,Gsg2604/Hb100137440/gicho/thumbnail.100137440.JPG,선거공보||20200415/PDF/PBINFO/2604/003_100137440_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137440.pdf&requestedFullPath=20200415/PDF/PBINFO/2604/003_100137440_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2260401,중구영도구,,,,,,5031,국가혁명배당금당,100135721,김가은,7,주부,경북과학대학 관광일어과 졸업,74,,Gsg2604/Hb100135721/gicho/thumbnail.100135721.JPG,선거공보||20200415/PDF/PBINFO/2604/003_100135721_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135721.pdf&requestedFullPath=20200415/PDF/PBINFO/2604/003_100135721_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2260401,중구영도구,,,,,,9999,무소속,100135094,정창범,8,(주)기아자동차 영도지점 과장(25년차 근무중),동아대학교 사회복지학과 졸업,74,,Gsg2604/Hb100135094/gicho/thumbnail.100135094.JPG,선거공보||20200415/PDF/PBINFO/2604/003_100135094_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135094.pdf&requestedFullPath=20200415/PDF/PBINFO/2604/003_100135094_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2260201,서구동구,,,,,,100,더불어민주당,100134646,이재강,1,정당인,런던정경대학 정치학과 박사과정 수료(1993.10.~ 2005.9.),74,,Gsg2602/Hb100134646/gicho/thumbnail.100134646.JPG,선거공보||20200415/PDF/PBINFO/2602/003_100134646_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134646.pdf&requestedFullPath=20200415/PDF/PBINFO/2602/003_100134646_20200403_1.pdf
